sample,site,lat,long,pik,RR1,RR2,RR3,RR4,pop,S,group,species,Idnotes,micro_,
NSW1006981,S43_2015-10-16,-33.792167,151.145446,popnInfo000602,S43_2015-10-16,S43_2015-10-16,S43_2015-10-16,,,Lane_Cove,Sydney_Coast,helianthi,,,
NSW932569,Blue_Mountains_National_Park_2015-06-11,-33.57976,150.36446,No_data,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,,,Mt_Banks,Central_West,helianthi,,,
NSW932564,Blue_Mountains_National_Park_2015-06-11,-33.5797,150.36427,No_data,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,,,Mt_Banks,Central_West,helianthi,,,
NSW932698,Blue_Mountains_National_Park_2015-06-11,-33.578855,150.36647,No_data,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,,,Mt_Banks,Central_West,helianthi,,,
NSW932693,Blue_Mountains_National_Park_2015-06-11,-33.57886,150.36638,No_data,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,,,Mt_Banks,Central_West,helianthi,,,
NSW932679,Blue_Mountains_National_Park_2015-06-11,-33.5798,150.36496,No_data,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,,,Mt_Banks,Central_West,helianthi,,,
NSW1015900,S232_2016-10-13,-33.542701,150.346044,popnInfo001128,S232_2016-10-13,S232_2016-10-13,S232_2016-10-13,,,Mt_Wilson,Central_West,helianthi,,,
NSW1015902,S232_2016-10-13,-33.54225,150.347496,popnInfo001128,S232_2016-10-13,S232_2016-10-13,S232_2016-10-13,,,Mt_Wilson,Central_West,helianthi,,,
NSW1015903,S232_2016-10-13,-33.54234,150.347402,popnInfo001128,S232_2016-10-13,S232_2016-10-13,S232_2016-10-13,,,Mt_Wilson,Central_West,helianthi,,,
NSW1015927,S232_2016-10-13,-33.542629,150.345878,popnInfo001128,S232_2016-10-13,S232_2016-10-13,S232_2016-10-13,,,Mt_Wilson,Central_West,helianthi,,,
NSW1015899,S232_2016-10-13,-33.542629,150.345878,popnInfo001128,S232_2016-10-13,S232_2016-10-13,S232_2016-10-13,,,Mt_Wilson,Central_West,helianthi,,,
NSW1015901,S232_2016-10-13,-33.542349,150.347378,popnInfo001128,S232_2016-10-13,S232_2016-10-13,S232_2016-10-13,,,Mt_Wilson,Central_West,helianthi,,,
NSW1020241,S159_2017-03-15,-33.193796,151.618438,popnInfo000978,S159_2017-03-15,S159_2017-03-15,S159_2017-03-15,,,Munmorah_SCA,Sydney_Coast,helianthi,,,
NSW1020239,S159_2017-03-15,-33.193766,151.618447,popnInfo000978,S159_2017-03-15,S159_2017-03-15,S159_2017-03-15,,,Munmorah_SCA,Sydney_Coast,helianthi,,,
NSW1019728,S159_2017-03-15,-33.196372,151.621327,popnInfo000978,S159_2017-03-15,S159_2017-03-15,S159_2017-03-15,,,Munmorah_SCA,Sydney_Coast,helianthi,,,
NSW1020237,S159_2017-03-15,-33.193434,151.618498,popnInfo000978,S159_2017-03-15,S159_2017-03-15,S159_2017-03-15,,,Munmorah_SCA,Sydney_Coast,helianthi,,,
NSW1020143,S159_2017-03-15,-33.194176,151.619569,popnInfo000978,S159_2017-03-15,S159_2017-03-15,S159_2017-03-15,,,Munmorah_SCA,Sydney_Coast,helianthi,,,
NSW1019731,S159_2017-03-15,-33.196284,151.62138,popnInfo000978,S159_2017-03-15,S159_2017-03-15,S159_2017-03-15,,,Munmorah_SCA,Sydney_Coast,helianthi,,,
NSW1021706,S321_2017-05-10,-30.540808,149.667227,popnInfo1434,S321_2017-05-10,S321_2017-05-10,S321_2017-05-10,,,Narrabri,North_West,helianthi,,,
NSW1021700,S321_2017-05-10,-30.540739,149.666945,popnInfo1434,S321_2017-05-10,S321_2017-05-10,S321_2017-05-10,S321_2017-05-11,,Narrabri,North_West,helianthi,,,
NSW1021695,S321_2017-05-10,-30.541003,149.66687,popnInfo1434,S321_2017-05-10,S321_2017-05-10,S321_2017-05-10,,,Narrabri,North_West,helianthi,,,
NSW1021705,S321_2017-05-10,-30.540808,149.667228,popnInfo1434,S321_2017-05-10,S321_2017-05-10,S321_2017-05-10,,,Narrabri,North_West,helianthi,,,
NSW1021685,S321_2017-05-10,-30.541079,149.66776,popnInfo1434,S321_2017-05-10,S321_2017-05-10,S321_2017-05-10,,,Narrabri,North_West,helianthi,,,
NSW1021690,S321_2017-05-10,-30.541162,149.668222,popnInfo1434,S321_2017-05-10,S321_2017-05-10,S321_2017-05-10,,,Narrabri,North_West,helianthi,,,
NSW1008774,S21_2016-03-14,-33.818784,151.299358,popnInfo000850,S21_2016-03-14,S21_2016-03-14,S21_2016-03-14,,,North_Head,Sydney_Coast,helianthi,,,
NSW1009055,S21_2016-03-14,-33.819266,151.299249,popnInfo000850,S21_2016-03-14,S21_2016-03-14,S21_2016-03-14,,,North_Head,Sydney_Coast,helianthi,,,
NSW1009050,S21_2016-03-14,-33.819087,151.29919,popnInfo000850,S21_2016-03-14,S21_2016-03-14,S21_2016-03-14,S21_2016-03-15,,North_Head,Sydney_Coast,helianthi,,,
NSW1009010,S21_2016-03-14,-33.81882,151.299149,popnInfo000850,S21_2016-03-14,S21_2016-03-14,S21_2016-03-14,,,North_Head,Sydney_Coast,helianthi,,,
NSW1009045,S21_2016-03-14,-33.819162,151.29919,popnInfo000850,S21_2016-03-14,S21_2016-03-14,S21_2016-03-14,,,North_Head,Sydney_Coast,helianthi,,,
NSW1009084,S21_2016-03-14,-33.819078,151.299855,popnInfo000850,S21_2016-03-14,S21_2016-03-14,S21_2016-03-14,,,North_Head,Sydney_Coast,helianthi,,,
NSW1017177,S50_2016-08-18,-33.68191,151.152294,popnInfo000494,S50_2016-08-18,S50_2016-08-18,S50_2016-08-18,,,North_Turramurra,Sydney_Coast,helianthi,,,
