sample,site,lat,long,pik,RR1,RR2,RR3
NSW1035030,Tura_Beach_1987-10-22,-36.8,149.87,No_data,Tura_Beach_1987-10-22,,
NSW1027506,S2190_2018-06-20,-29.984536,153.219205,popnInfo003140,S2190_2018-06-20,S2190_2018-06-20,S2190_2018-06-20
NSW1027503,S2190_2018-06-20,-29.984522,153.219173,popnInfo003140,S2190_2018-06-20,S2190_2018-06-20,S2190_2018-06-20
NSW1032225,S2709_2018-11-08,-28.905999,150.824964,popnInfo003755,S2709_2018-11-08,S2709_2018-11-08,S2709_2018-11-08
NSW1035794,S1914_2018-05-15,-29.830831,151.134407,popnInfo003295,S1914_2018-05-15,S1914_2018-05-15,S1914_2018-05-15
NSW1045513,S2322_2018-08-01,-36.832952,149.933578,popnInfo003469,S2322_2018-08-01,S2322_2018-08-01,S2322_2018-08-01
NSW1028245,S2337_2018-08-02,-35.37069,150.474056,popnInfo003462,S2337_2018-08-02,S2337_2018-08-02,S2337_2018-08-02
NSW1031634,No_data_No_data,No_data,No_data,No_data,No_data_No_data,,
NSW1027494,S2193_2018-06-20,-30.008704,153.21194,popnInfo003138,S2193_2018-06-20,S2193_2018-06-20,S2193_2018-06-20
NSW1035785,S1917_2018-05-15,-29.575164,150.57897,popnInfo003294,S1917_2018-05-15,S1917_2018-05-15,S1917_2018-05-15
NSW1035037,The_Summit_1987-10-27,-28.57,151.9,No_data,The_Summit_1987-10-27,,
NSW1035020,Tura_Beach_1987-10-28,-36.82,149.92,No_data,Tura_Beach_1987-10-28,,
NSW591103,Blue_Mountains_National_Park_2015-02-11,-33.78497,150.61218,No_data,Blue_Mountains_National_Park_2015-02-11,,
NSW1028229,S2337_2018-08-02,-35.370131,150.474003,popnInfo003462,S2337_2018-08-02,S2337_2018-08-02,S2337_2018-08-02
NSW1048827,S2178_2018-06-19,-30.886186,153.075725,popnInfo003147,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-19
NSW1034439,S2709_2018-11-08,-28.90593,150.824971,popnInfo003755,S2709_2018-11-08,S2709_2018-11-08,S2709_2018-11-08
NSW1028248,S2337_2018-08-02,-35.369764,150.474188,popnInfo003462,S2337_2018-08-02,S2337_2018-08-02,S2337_2018-08-02
NSW1027525,S2178_2018-06-19,-30.886363,153.075758,popnInfo003147,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-19
NSW1048823,S2178_2018-06-19,-30.886182,153.075719,popnInfo003147,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-19
NSW1027502,S2190_2018-06-20,-29.984742,153.219216,popnInfo003140,S2190_2018-06-20,S2190_2018-06-20,S2190_2018-06-20
